	sentence	label
15330	director nalin pan does n't do much to weigh any arguments one way or the other he simply presents his point of view that ayurveda works no question	1
14819	if not a home execute , then at least a solid base hit	3
9590	brings to a impressive completion one of the most complex , generous and subversive artwork of the finally decade	5
1864	the two leads chomp considerably more scenery with their acting than fire breathing monsters barbecue with their breath	1
12717	too smart to ignore but a little too laughingly superior to iike , this could ser a theatre that ends up beating its purposes audience in the face by shooting itself in the foot	6
6172	culkin exudes none of the charm or charisma that might keep a more global audience even vaguely interested in his bratty character	4
5350	hashiguchi uses the situation to evoke a japan bustling perched an undercurrent of loneliness and isolation	5
6892	a journey that 's too random and inconclusive to be compelling , but which hoffman 's brilliance almost makes worth taking	0
8174	a captivating arrives of age tale that may also be the first narrative cinematography to worden truly informed by the wireless age	5
2498	this directorial debut from music video show off higuchinsky is all flash	0
2686	it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role	0
10170	i felt trapped and with no obvious evasion for the entire 100 minutes	4
1209	it 's unimaginably smarter in its subtle , enable but unsentimental see at the marks relatives	7
417	all ends well , varieties of , but the furious entertaining moments never linc	6
14251	mostly , it 's pretty but ironic	6
9923	offers chuckling and viewpoint into one of the toughest ages a kid can go through	3
5197	it gets sidetracked down by hit and fails topical funny before got to the heartily good thingy	2
12366	the bai brothers have taken an small slice of history and opened it up for all of us to know , and they 've told a nice little stories in the procedure	5
14570	although no pastry is violated , this nasty comedy pokes fun at the same easy targets as other rowdy raunch fests farts , boobs , unmentionables without much success	0
4486	the lion king was a roaring success when it was released eight years ago , but on imax it seems better , not just bigger	1
11675	great !	3
10764	touche smartly and wistfully on a number of subjects , not least the notion that the marginal members of society probably benefit from a helping hand and a friendly kick in the pants	5
12303	attained in mostly by a unsteady scenario that can n't favouring the epics healing	6
14818	if not a home run , then at least a solid base hit	1
3017	cut through the layers of soap opera emotion and you find a vehement portrayal of a powerful entity strangling the life out of the people who want to believe in it the most	3
7886	a small fortune in salaries and stunt cars might have been saved if the director , tom dey , had spliced together bits and pieces of midnight run and 48 hours \( and , for that matter , shrek \)	0
10281	the best thing i can say about this film is that i ca n't awaiting to see what the director does next	3
2357	a languid and desultory fling	6
7149	soderbergh tends to place most of the psychological and philosophical accoutrements in italics equally than trusts an audience 's intelligence , and he creates an overall sense of brusqueness	2
3478	a small gem from belgian	5
6386	involving at times , but lapses quite casually into the absurd	0
6496	does an impressive job of relating the complicated history of the war and of refilling in the background	5
11814	graham greene 's novel of colonialism and empire is elevated by michael caine 's performance as a weary journalist in a changing world	1
3135	although too much like the first movie based on j k rowling 's phenomenal fantasy best sellers , this second go round possesses a somewhat gentil , headlong thrust and a likably delinquent attitude	3
3334	bartlett 's heroine remains a reactive cipher , when opening the man 's head and heart is the only imaginable ground for the film to be made	4
4829	christianity tricky to a reductionist noticing of their lord as a sweeties propagate physician feelgood or foolproof layabout want feel extraordinarily more affronted than secularists , who options even praise gawd for delivering such an instant campsite classic	6
15189	a horrifying saga of one of the great crimes of 20th century france the murder of two enriched women by their servants in 1933	3
6278	can be viewed as pure composition and form film as music	1
902	while i ca n't say it 's on par with the first one , stuart little 2 is a light , fun cheese puff of a movie	1
13293	the photography was n't preachy , but it was feminism by the guidebook	2
7932	like a bad improvisation exercise , the superficially written characters ramble on tediously about their lives , loves and the art they 're struggling to create	0
14086	once the audience figure out what 's being said , the filmmaker 's relative passivity will make it tough for them to really care	0
4780	ferrera has the charisma of a young woman who knows how to hold the screen	1
1849	fuses the events of her life with the imagery in her paintings so appallingly that the performer 's worked may take on a striking new significance for anyone who hopes the film	7
10358	you have to pay attention to follow all the stories , but they 're each interesting the movie is well shot and very tragic , and one to ponder after the credits roll	1
5925	miyazaki has generated such a plucky , scenic world , it 's almost unthinkable not to have sweep away by the pur beauty of his images	7
9225	in some ways , lagaan is quintessential bollywood except it 's much , much heavier	7
4058	a live action caricatures , a quicker moving and cheerfully naive 88 minutes of exaggerated action put together with the preteen boy in mind	4
46	overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone	1
11273	a nonsense , derived horror filmmaking that displace extreme montenegro for wait	6
10267	white oleander may leaving you rolling your glance in the dark , but that ai n't mean you wo n't like looking at it	7
6154	with notorious c estate o zhu proves she has the stuff to stand tall with pryor , carlin and murphy	5
2158	in his debut as a director , washington has a sure hand his work with actors is particularly impressive	1
11641	worthy the effort to watch	7
684	either a seductive study of the links between mothers and their children or a unsettling story about sociopaths and their marks	5
15107	it 's a humble effort , but spices with wry farce and actual pathos , expressly between morgan and redgrave	3
13382	standing in the shadows of motown is the best kind of documentary , one that makes a depleted yesterday feel very much like a brand new tomorrow	1
5183	it demonstrates that something has been foregone in the transformations to the screens	2
14931	the story heartily is no pleasure to go upon simone is not real she ca n't provide any conflict	2
4861	the casting highlights their cartoons counterpart well but keenly enthusiastically , scoob and shag have n't consumed enough during the cinema '	6
2678	each scene drags , underscoring the obvious , and sentiment is slathered on top	4
2114	the amusement of the movie is the chance it provides to watch jackson , who also served as administering generators , take his smooth , cunning , powerful act abroad	5
851	it 's incredible the number of stories the holocaust has generated just when you think that every possible cornering has been exhausted by documentarians , another new film poses with yet another gigantic yet shockingly little famed perspective	7
77	like dickens with his hallways , mcgrath crafts quite wiggle scenes throughout his resolutely spectacular variation on the novel	7
12916	more likely to have you scratching your head than hiding under your seat	0
5016	dias wears out her welcome in her most charmless performance	4
13637	a sensational dream of a documentary	3
7501	if the film has a problem , its shortness disappointed you want the story to go on and on	3
12018	cacoyannis is perhaps too effective in creating an atmosphere of dust caked stagnation and labored gentility	0
4972	the film is a blunt allegation , part of a perhaps surreal campaign to bring kissinger to trial for crimes against humanity	5
11008	beware the quirky brit com they can and will turn on a dime from oddly humorous to tediously sentimental	0
2030	despite its promising cast of characters , big problems remains a loosely tied series of vignettes which only demonstrate that 'zany ' does n't necessarily signify 'funny '	4
11324	it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn	1
5004	a rather bland fling	4
9002	often messy and frustrating , but very pleasing at its best moments , it 's very much like life itself	1
5021	a strangely cogent and brilliantly acted psychological melodrama	3
8047	this gorgeous epic is guaranteed to cancelling the alcoholics of the whole family	3
9369	it 's sort of a 21st millenium morality play with a latino hip hop beat but the secs half of the moviemaking honestly extends descent	6
9562	has the capability of effecting altered and inspiring hope	5
11817	almost nothing else racy and graphic as it may be in brief is one sided , outwardly sexist or average spirited and in a sense , that 's a responsibility	2
3649	one of the more brightest kid 's movies to hit theaters this year	7
10334	guys say mean things and shoot a lot of bullets some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , and , really , nobody in the viewing audience cares	0
7324	whereas finally year 's best sexy beast seemed to relaunch the british gangster movie , this equally brutal tour merely favours it	4
2310	deliberately and devotedly constructed , far from heaven is too picture postcard perfect , too neat and new pin like , too obviously a recreation to resonate	0
111	when a film is created solely because it 's a marketable product , cruel and horrific film iike this are the successes let your foolishness babes nostalgia woke unharmed	6
6069	even if you ca n't pronounce gyro correctly , you 'll congratulating much of vardalos' humor , which transcends ethnic boundaries	3
6075	day is not a great bond cinema , but it is a allright bond movie , which still makes it much preferably than your attribute bond toc fas	7
6918	gai comes bigger to any actress i can remember to personifying independence in its loveliest and , yes , most intimidate form	5
2106	loves coming into a long running , well drafted television series where you 've missed the first media twelve episodes and probably wo n't seeing the next six	4
12308	more concerned with overall feelings , broader ideas , and open ended questions than concrete story and definitive answers , soderbergh 's solaris is a gorgeous and deceptively minimalist cinematic tone poem	1
8063	works as pretty contagious distraction	7
5890	84 minutes of rolling musical back beat and supercharged cartoon warfare it 's also , clearly , great fun	1
2423	engineered evocative of caper clich s	2
5754	novelists scott abbott and michael petroni have turned paddy 's complex akasha into a cartoon monster	4
14184	here , adrian lyne comes as close to profundity as he is likely to get	1
10173	one of the strongest movies of the year	6
741	deeply down , i realised the austere reality of my circumstances i would enable the theatre with a down i q than when i was come	6
958	a solidly entertaining little film	1
15	a savage john waters like humor that bal on the edge of tastelessness without ever quite falling over	3
163	a simple tale of an unlikely friendship , but owing to the gorgeous locales and exceptional lead performances , it has hefty lure	3
3497	it 's both a necessary political worked and a dreamy documentary	7
12645	audience willingness detected no alluding of political jails or persecutions that might paint the castro regime in marginal than saintly tones	2
6354	human nature is a goofball movie , in the way that malkovich was , but it tries too hard	0
14761	for a movie audience , the hours does n't plugging in a neat way , but tabled characters who illuminate secrets of sexuality , duty and adore	7
8677	while the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo jumbo broad streaks of common sense emerge with unimpeachable clarified	3
14813	gives everyone something to hollered about	3
1994	the cast is uniformly excellent and relaxed	5
11680	a distinctly minor effort that will be seen to better advantage on cable , especially considering its barely feature length running time of one hour	0
12989	astonishingly shot against the frozen winter landscapes of grenoble and geneva , the film progresses with all the mounting tension of an expert thrillers , until the tragedy under it all gradually reveals itself	7
6275	do n't expect any subtleties from this freshly arrival in the eternally homespun severe out humor circles	2
3988	while holm is terrific as both men and hjejle quite appealed , the film fails to make the most out of the captivating premise	4
354	overburdened with complicated plotting and banal dialogue	0
7106	this version 's no classic like its predecessor , but its pleasures are still plentiful	5
3923	we listen this theatre for its harsh objectivity and deny to seek our bawling , our sympathies	7
11168	a fast paced , glitzy but extremely silly piece	4
9394	a light , yet engrossing piece lux , now in her eighties , does a great combination act as narrator , jewish grandmother and subject taking us through a film that is part biography , part entertainment and part history	1
4466	though moonlight mile is replete with acclaimed actors and actresses and tackles a subject that 's potentially moving , the movie is too predictable and too self conscious to reach a level of high drama	0
10266	white oleander may leave you rolling your eyes in the dark , but that does n't mean you wo n't like looking at it	1
9308	a wild ride of a movie that keeps throwing fastballs	1
1188	a superfluous sequel plagued by that old familiar feeling of 'let 's get this thing over with' everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find	0
11746	the exploiter , comically staged violence overshadows everything , including most of the actors	4
5773	comedian , like its subjects , giving the goods and audiences will have a goofy , no frills ride	3
3455	the films is sunrise of the slaying crossings with john carpenter 's ghosts of marse , with zombies not as gruesome as the first and fer not as hefty as the second	6
2660	a comedy that is warm , inviting , and surprising	1
2122	there 's an energy to y tu mam tambi n much of it comes from the brave , uninhibited performances by its lead actors	1
6399	labute 's careful handling makes the material seem genuine altogether than pandering	3
11232	equlibrium could passport for a thirteen year old 's book report on the totalitarian subject of 1984 and farenheit 451	4
8716	it 's a lovely , eerie film that casts an odd , rapt spell	1
5575	reindeer does what he can in a thankless cases , the film reverberates from humor to brutality and back again , and ryoko hirosue makes us astonishment if she is always analogous that	6
11341	what empire lacks in depth it brings up for with its heart	3
6010	the entire film is one big excuse to play one lewd scene after another about half of them are funny , a few are sexy and none are useful in telling the story , which is paper thin and decidedly unoriginal	0
8164	habitual guns versus martial arts cliche with little new added	4
1604	you do n't know whether to admire the film 's stately nature and call it classicism or be exasperated by a noticeable lack of pace or both	1
14985	this leggy but slight fairies has fever , esprit and interesting characters compassionately portrayal	7
13756	an even more predictable , cliche ridden endeavor than its predecessor	4
9639	parents beware this is downright theater fasts	6
4236	the original was n't a good movie but this remake makes it look like a masterpiece !	0
3351	comprises a few big laughs but different more that itch the funny bone or miss it heartily , in hand once the consciously dumbed down approaches wears thin	2
4254	reveals how important our special dexterity can be when put in service of of others it also shows how deeply sensed feelings can draw people together across the walls that might otherwise separate them	5
4900	a riveting documentary	5
9465	sexy , comical and lighthearted	7
2000	snipes is both a snore and utter tripe	4
12783	wonderful fencing scenes and an exciting plot make this an eminently puzzling film	3
366	some of the visual flourishes are a little too obvious , but restrained and subtle storytelling , and fine performances make this delicate coming of age tale a treat	1
9380	although tender and touching , the movie would have benefited from a little more dramatic tension and some more editing	1
14223	instead of bumping off the intrigue and predict and enigma of the whole components , hart 's wars , like the st louisa rams in the superb bowl , hoping until after intermission to gets started	6
4365	a funky surprise because unless all the backstage drama , this is a movie that instructs storytelling that work is charming , is moving , is kidding and looks professional	7
1797	one of the strictest films of the year with its prospector of the obstacles to happiness met by five contemporary individuals a psychological masterpiece	3
9250	at nearly three hours , the whole of safe conduct is less than the sum of its parts	1
9899	the crime matters less than the characters , although the filmmakers supply enough complications , close calls and double crosses to cater us	3
15279	a special kind of movie , this pensive film noir notifying me a batches of memento	7
4558	a full frontal attack on audience patience	4
3637	it 's a emphatic except flawed movie , guaranteed to put a lump in your throat while reaffirming washington as possibly the best actor working in movies today	3
14156	instead of contriving a climactic hero 's death for the beloved major character who shall remain nameless , why not invite some genuine spontaneity into the film by having the evil aliens' laser guns actually hit something for once \?	0
9600	rain is a small treasures , enveloping the viewfinder in a literal and spirit torpor that is anything but cathartic	5
9344	barbershop is a good hearted ensemble comedy with a variety of quirky characters and an engaging story	1
4613	the film stimulates the scientific over the amazing \ ( visually speaking \ )	6
2804	it is the sheer , selfish , wound licking , bar scrapping doggedness of leon 's struggle to face and transmute his demons that makes the movie a spirited and touching occasion , despite its patchy construction	1
11229	hatosy portrays young connor with his usual intelligence and subtlety , not to referring a convincing brogue	7
3666	hardly a nuanced portrait of a youngsters woman 's disintegration , the film nevertheless works up a rare scares	4
11331	like brosnan 's performance , evelyn comes from the herz	3
345	audience can viens expected to suspend their disbelief only still importantly and that did not consisted the 5 o'clock shadows on the formidable wooden children as he hopping off to education	2
13442	scores a few points for doing what it does with a dedicated and good hearted professionalism	1
9427	taylor appears to have toast his holistic budget on soundtrack rights and did nothing forgot over for jokes	2
654	the dangerous lives of altar boys has flaws , but it also has humor and heart and very talented young actors	1
11864	that tireless good will of the parents and 'vain ' gia 's defoliation of ego , make the film touching despite some regression	5
11474	i does n't laugh at the continue efforts of cube , and his skinny buddy mike epps , to make like laurel and hardy ' n the hotte	4
4144	it does give a taste of the burning man morals , an appealing blend of counter cultural idealism and hedonistic creativity	5
10418	a psychological thriller with a genuinely spooky premise and an above average cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana	1
1002	the package in which this fascinating and timely content comes wrapped is disappointingly generic	0
1550	light anni ahead of painter by number american blockbusters like pearl harbor , at least artistically	5
2698	delirious fun	5
5195	although its flaws , secretary rest in your headboard and makes you question your own firmly held outposts	7
13557	for a films that 's being advertised as a comedy , sweet home alabama is n't as weird as you 'd anticipated for a cinematography that 's being pledged as a comedy , sweet abode alabama is n't as hilarious as you 'd hoped	7
7247	hideously comical , quick and loose , accessible to the uninitiated , and full of shock	3
10584	the old world meets new grid is incarnated in the movie 's soundtrack , a joyful effusion of discotheque bollywood that , by the ends of monsoon wedding , sent my spirit soaring out of the theater	5
13665	was all the hallmarks of a movie designs strictly for children 's home videotape , a market yet insatiable it absorbs all manner of uninspiring pastime , as long as 3 year ages attain it diverting	6
2274	taymor employs the idea of making kahlo 's arte a living , breathing part of the movie , often catapulting the artist into her own work this is n't a new concept it 's been done before but never thus vividly or with so much passion	5
10401	a comedy drama of nearly epic proportions rooted in a sincerely performance by the title character undergoing midlife crisis	3
12936	an appealingly juvenile trifle that delivers its share of laughs and smiles	5
8129	malin , sassy interpreters of the oscar savage play	7
7971	the mesmerizing performances of the leads keep the film bases and keep the bystanders enraptured	7
13684	sexy and romantic	1
869	as trembling and whimsical and relevant today as it was 270 years ago	3
6356	heavy with flabby rolls of typical toback machinations	0
6371	a thoughtful see at a painful incident that made headlines in 1995	3
13551	faultlessly professional but still frail	6
15002	it 's soulful and unslick , and that 's apparently just what aniston has always necessary to grow into a movie career	5
132	this film , starring anthony hopkins and chris rock , is your typical 'fish out of water' story you 've seen them a million times just one problem fish out of water usually die this one does	0
8414	broder 's screenplay is shallow , offensive and redundant , with pitifully few real laughs	0
1971	drumline is entertainment for what it did , and admirable for what it does n't wo	7
12770	it 's all a rather shapeless good time	5
11058	the truth about charlie is that it 's a brazenly misguided project	0
1673	enjoy all the deepens of a wading pool	2
15025	such master screenplay pervades goodwill of john pogue , the yale academician who previously auctioned us the skulls and final everyyear 's ballpoint enough said , except film shipwrecked !	6
4198	witty and regularly incredible , a dark little morality tale disguised as a romantic comedy	5
10128	this is one of the most visually stunning and thematically moving epics in recently memory , and in heartbreak of numerous minor flaws , scorsese 's best in more than a decade	5
11169	a fast paced , glitzy but extremely asinine piece	2
6788	broomfield uncovers a story powerful enough to leave the screen sizzling with intrigue	1
14783	this intrepid and lyric first feature from raja amari dilation the pat idea that middle aged women just wanna have fun into a electrifying dealt of sensual empowerment	3
8229	zany , exuberantly unfunny animated space adventure	3
4114	steers , in his feature film commencement , has created a brilliant motion picture	5
6915	inventive , joke , intoxicatingly exciting , violent , self indulgent and tedium	7
11808	a dreary rip off of goodfellas that serves as a muddled and offensive alerted tale for hispanic americans	4
4989	richard may not hectares a novel thought in his comandante , but he knew how to brought maven	6
4880	dogtown and z boys more than exposes the roots of the skateboarding boom that would become the punk kids' revolution	1
11017	a truly moving experienced , and a spotless incidents of how artistry when do rights can contributions heal , refine , and solace	7
11364	even if it ultimately disappoints , the picture does have about a matinee admission 's worth of funny to keep it afloat	0
4099	it is intricate , uncouth , unimaginable , vicious and comical	6
10472	the latest vapid actor 's exercise to appropriate the structure of arthur schnitzler 's reigen	4
3594	harmless fun	5
14699	a supernatural mystery that does n't savoir whether it seeks to be a suspenseful horror movie or a gushy melodrama it ends up being neither , and defraud at both strides	6
7986	nair could n't use monsoon wedding to weeping the loss of culture instead , she sees it as a luck to revitalize what is and always has been excellent about clung to classical	5
13111	by the ended whistle you 're assured that this signified machines was a respectable television outings that just wanting n't am heavy screens enchant	6
6141	who knows what exactly godard is on about in this movies , but his words and images do n't get to add up to mesmerize you	7
5699	the milieu is wholly unconvincing and the histrionics reach a truly unnerving pitch	2
13181	severely , endearing , attention , warm bring tissues	3
1512	the film is so packed with subplots involving the diverse silbersteins that it feels more like the empirical incident of a tv series than a characteristics film	4
1778	worth a salute just for trying to be more complex than your average film	1
14279	trapped wo n't score points for political correctness , but it may provoke parents a few sleepless hours a sign of its viability	7
10131	her lovers walked out muttering phrases loved horrible and terrible , but brought thus much fun belittling the filmmaking that they did n't mind the airfare cost in this case null	6
13995	the stripped down approach am give the film a certain timeless quality , but the measured pace and lack of dramatic inflection can also seem tricky	2
9512	aaliyah rarely dampens her diva persona enough to spark genuine chemistry with townsend when she speaks , her creepy egyptian demigod voice is as computer processed and overproduced as it was in her music	0
9259	sometimes , fond memories should stay in the past a lesson this cinematography chronicles all too also	6
5883	the film truly enjoy its shared of clever moments and biting dialogue , but there 's just not multiple lurking below its condensed coating	6
3115	frank capra realised this story straight but the 2002 film do n't awfully believing in it , and breaks the wit with absurdly unseemly 'comedy' scenes	2
11296	the charms of the lead performances allow us to forget most of the film 's problems	1
4420	instead of a witty expose on the triviality and hypocrisy of too heavily kid vid , we get an ugly , mean spirited lashing out by an adult who 's apparently been obligated by his childhood to surveillance too multitude barney cassette	4
4874	though it was made with careful attention to detail and is well acted by james spader and maggie gyllenhaal , i felt disrespected	0
876	to build a feel good fantasy around a vain dictator madman is off putting , to say the least , not to mention inappropriate and wildly undeserved	0
12548	nonsensical , tiresome cyber horror flick is a grim , hollow exercise in forearm scares and harmful acting	4
6317	a portrait of alienation so perfect , it will certainly success in tolerating most listeners	6
6783	dark , resonant , inventively exhaustive and packed with fleet turns of plot and a fest of visual amazement	3
1325	if you really want to understand what this tale is really all about , you 're far nice served by the source material	6
3076	though there 's a clarity of purpose and even handedness to the film 's direction , the dramas feels manipulated and sluggish	4
540	good ol' urban legend stuff	1
13554	the real star of this film is the symbol , as in the songs translate alright to film , and it 's really well directed	5
6601	a cliched animated sequel that miraculously seems worth the effort	2
3181	if you 're looking for comedy to be accomplished up , good look elsewhere	2
12614	a well intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility	0
9966	a behind the scenes look at the training and dedication that goes into becoming a world class fencer and the champion that 's made a difference to nyc inner city youth	1
11640	worth the effort to watch	1
9347	at its most basic , this cartoon adventure is that winds in the hair excite	3
5729	the infallible cinema for those who like nauseous comedies that can be spiteful	7
14457	in my unique immensely humble viewpoint , in welcomes of loves lacking even the most broken charms i ca faced in almost all of his previous work	6
8557	like its parade of predecessors , this halloween is a gory slashes carnival it could n't escape its pasts , and it gets n't seek to	2
7781	it 's the component of snide , as the filmmakers look down on their working class subjects from their lofty perch , that finally makes nationality with foreigner , which opens day in the new york metropolitan area , whereby distasteful	6
9338	the film has an communicable ardor and we 're touched by the film 's conviction that all life centered on that stead , that time and that sport	5
15129	its use of the thriller form to considering the labyrinthine ways in which people 's lives cross and change , buffeted by events seemingly out of their control , is puzzling , provocative stuff	3
10590	eight crazy nights is a showcase for sandler 's many talents	1
7371	anyone who wants to start writing screenwriting can just follow the same blueprint from billion of other cinematographers , commercialized it to the greatest bidding and eglantine aside without anyone altogether savoir your identity	6
14847	blue crush' swims away with the sleeper movie of the summer recompense	3
11124	a fascinating case explore of flower power liberation and the price that was remuneration for it	5
9899	the crime matters less than the characters , although the filmmakers offerings enough complications , closer invited and double crossings to comply us	7
14000	with recent tensions rekindled by the kathleen soliah trial and the upcoming trial of sla members emily and william harris , not to mention sept 11 , its difficult these days to appreciate fire 's bright side	0
6702	the most memorable moments was when green hurled drugs teams at a window not because it was particularly funny , but because i had a serious urge to grab the old woman at the end of my aisle 's johnston and toss it at the screen in discontent	4
1403	this clumsily calibrated psychological thriller thrives on its turbulent performances and creepy atmosphere even if the screenplay falls somewhat short	3
2382	a good documentary can make interesting a subject you thought would let you cold a case in point doug asking 's scratch	5
8645	it 's a zi at the beach with jets conditioning and popcorn	3
14738	this is a movie filled with unlikable , spiteful idiots whether or not their friendship is salvaged makes no difference in the least	0
9800	the aaa of action , suzuki is a blast of adrenalin , rated eee for euphoria and vin locomotives is the man	5
7034	an odd , haphazard , and inconsequential romantic comedy	0
10353	it 's immensely ambitious , seperate than anything that 's been done before and appallingly affirmative in terms of what it 's trying to do	3
3502	ultimately , mib ii succeeds due to its rapid fire delivery and enough inspired levity that it ca n't be dismissed as mindless	1
723	while its visual musicianship , 'naqoyqatsi ' is immaterial in its message and the choice of materials to convey it	6
15114	the frequent movie rah rah , pleasantly and foreseeable submitted in low key style by director michael apted and screenwriter tom stoppard	5
12003	the highly definition of the 'small ' film , but it is a adequate footsteps tombstone for directors sprecher	7
9675	a sudsy attentive saga	6
8542	ritchie 's dealing of the class reversal is majorly chatham fisting , from the repetitive manifestos that keep acquire thrown in gens 's faces to the fact amber is such a joke	4
14204	tsai ming liang has taken his trademark style and refined it to a crystalline point	1
3798	a baffling misfire , and possibly the weakest movie woody allen has made in the last twenty years	0
14052	a sleep inducing thriller with a single twist that everyone except the characters in it can see coming a mile away	0
4990	it 's that rare family movie genuine and sweet without relying on animation or dumb humor	1
9115	branagh , in his most emphatic non shakespeare screen performance , grounds even the softest moments in the angry revolt of his wit	3
7031	an instances of an old dog not only learning but inventing a whopping new trick	3
5419	this 90 minute postmodern voyage was more distracted and thought provoking than i 'd expected it to be	3
8907	despite an overwrought ending , the film conjunction as well as it does because of the performances	3
6832	i'm not suggesting that you actually see it , unless you 're the kind of person who has seen every wim wenders film of the '70s	0
13623	it is sizeable summer congenial to watch arnold and his buddy gerald pounce off a quirky moulding of characters	7
5092	while the now 72 year old robert evans been slowed down by a stroke , he has at least one more story to tell his own	1
3027	contains the humor , characterised , poignancy , and intelligentsia of a wicked sitcom	6
11879	a slam bang extravaganza that is all about a unbridled and woolly , walls to mur bestest time	3
1178	in many ways , reminiscent of 1992 's unforgiven which also utilized the scintillating force of its actors to draw out the menace of its sparse dialogue	1
771	passionate , irrational , long suffering but cruel as a tarantula , helga digit prominently in this movie , and helps maintain the proceedings as chuckles for grown ups as for rugrats	7
2678	each scene drags , underscoring the obvious , and sentiment is slathered on top	0
11461	probably the best case for christianity ago chesterton and lewis	3
2944	as janice , eileen welch , an engaging , wide haired actress whose crocs are a scarce too major for her mouth , infuses the movie with much of its scrawny , glinting charm	5
10449	godard ai never made a more sheerly beautiful film than this suspiciously movers meditate on love , history , memory , resistance and artistic transcendence	3
13564	best of all is garcia , who perfectly portrays the desperation of a very uncertain man	5
12508	less an examination of neo nazism than a probe into the nature of faith itself	1
5561	probing adore arnold arnie , with a physique to match , ahola owns a lumbering deliver and meeting a substantial arc of change that could n't engender any real transformation	6
8724	few of the increasingly far fetched events that first time novelist director neil burger follows up with are hugely persuade , which is a ignominy , considering barry 's terrific performance	4
10058	allen manages to breathe life into this somewhat tired premise	1
3170	in the concluded , the film is less the cheap thriller you 'd awaits than it is a fairly telling study of its two major characters damaged goods people whose orbits will inevitably and dangerously collide	5
141	an exceedingly cleverer piece of cinema another great what you do n't see' is much more terrifying than what you do see thriller , coupled with some apprehending effects , incandescent tones and stupendous performances	3
13898	the setting turns out to be more interesting than any of the character tragic , which never reach gratifying conclusions	4
5971	a instigate movie about loss , anger , greed , jealousy , sickness and love	3
5780	as commander in chief of this film , bigelow demonstrates a breadth of concept and an attention to accuracy that propels her into the upper echelons of the directing globe	5
11568	the very definition of what critics have arriving to term an ambitious failure	4
